-> To import the database, do the following in command line:

$ mysqladmin create ULVZ_DB
$ mysql ULVZ_DB < ULVZ_DB.MariaDB.sql

-> An ascii format of the database:

+------+-----------+-------+--------+-------+-----------+-------------------------------+-----------------+---------------------------------------------------------------+--------+-------+--------+-----------------------------------------------------------------------------------------------------------------------------------------+
| Ref  | Code      | dVp   | dVs    | dRho  | Thickness | PaperName                     | Phase_Method    | Region_Detection                                              | Period | Dist  | Az     | Notes                                                                                                                                   |
+------+-----------+-------+--------+-------+-----------+-------------------------------+-----------------+---------------------------------------------------------------+--------+-------+--------+-----------------------------------------------------------------------------------------------------------------------------------------+
|    1 | SWP       |   -15 |    -45 |    10 |        10 | Thorne et al. [2013]          | SKS[SPdKS](w)   | SouthWest Pacific(y)                                          |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|    2 | ZF2       |  NULL |    -20 |     0 |        20 | Cottaar and Romanowicz [2012] | Sdiff(a,t,w)    | Central Pacific(y)                                            |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|    3 | NP        |  -1.5 |   NULL |     0 |      NULL | Hutko et al. [2009]           | PcP(m)          | Alaska(w)                                                     |   2.23 |  63.1 |  102.3 | NULL                                                                                                                                    |
|    3 | CP        |  -3.5 |     -6 |     3 |        15 | Hutko et al. [2009]           | PcP(m)          | Central Pacific(y)                                            |   2.23 |  76.6 |   40.9 | NULL                                                                                                                                    |
|    3 | CA        |  NULL |   NULL |  NULL |      NULL | Hutko et al. [2009]           | PcP(m)          | Central America(n)                                            |      3 |  48.9 |  -40.4 | NULL                                                                                                                                    |
|    3 | SA        |  NULL |   NULL |  NULL |      NULL | Hutko et al. [2009]           | PcP(m)          | Central America(n)                                            |      3 |    70 |  -39.4 | NULL                                                                                                                                    |
|    4 | WP        |  NULL |    -10 |     0 |       100 | He and Wen [2009]             | ScS(t,w)        | West Pacific(y)                                               |      8 |  83.7 |  -40.7 | NULL                                                                                                                                    |
|    5 | Celebes   |     0 |    -45 |  NULL |        10 | Idehara et al. [2007]         | ScP(w)          | Celebes Sea(y)                                                |    1.3 |    36 |   NULL | NULL                                                                                                                                    |
|    5 | Mix       |  NULL |   NULL |  NULL |      NULL | Idehara et al. [2007]         | ScP(w)          | Celebes Sea(n), Philippine Sea(n), Coral Sea(n), Banda Sea(n) |    1.3 |    36 |   NULL | NULL                                                                                                                                    |
|    5 | PS        |   -10 |    -25 |     8 |        17 | Idehara et al. [2007]         | ScP(w)          | Philippine Sea(y)                                             |    1.3 |    36 |   NULL | NULL                                                                                                                                    |
|    5 | Coral     |  NULL |    -24 |     6 |      NULL | Idehara et al. [2007]         | ScP(w)          | Coral Sea(y)                                                  |    1.3 |    36 |   NULL | NULL                                                                                                                                    |
|    6 | yCoral    |    -8 |    -25 |    10 |       8.5 | Rost et al. [2005]            | ScP(w)          | Coral Sea(y)                                                  |    1.4 |  43.8 |    -90 | NULL                                                                                                                                    |
|    6 | nCoral    |  NULL |   NULL |  NULL |      NULL | Rost et al. [2005]            | ScP(w)          | Coral Sea(n)                                                  |    1.4 |  43.8 |    -90 | NULL                                                                                                                                    |
|    6 | wCoral    |  NULL |   NULL |  NULL |      NULL | Rost et al. [2005]            | ScP(w)          | Coral Sea(w)                                                  |    1.4 |  43.8 |    -90 | NULL                                                                                                                                    |
|    7 | Coral     |    -5 |    -15 |    10 |        20 | Jensen et al. [2013]          | SKS[SPdKS](w)   | Coral Sea(y)                                                  |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|    7 | bin1      |   -10 |    -30 |    10 |         5 | Jensen et al. [2013]          | SKS[SPdKS](w)   | South China Sea(y)                                            |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|    7 | PS        |  NULL |   NULL |  NULL |      NULL | Jensen et al. [2013]          | SKS[SPdKS](w)   | Philippine Sea(n)                                             |     10 |  NULL |   NULL | NULL                                                                                                                                    |
|    7 | bin2      |   -15 |    -45 |    10 |         5 | Jensen et al. [2013]          | SKS[SPdKS](w)   | Celebes Sea(y)                                                |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|    7 | bin3      |   -15 |    -45 |    10 |         5 | Jensen et al. [2013]          | SKS[SPdKS](w)   | South China Sea(y)                                            |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|    7 | bin4      |  NULL |   NULL |  NULL |      NULL | Jensen et al. [2013]          | SKS[SPdKS](w)   | South China Sea(y)                                            |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|    9 | LWAR      |  NULL |     -5 |     0 |      NULL | To et al. [2011]              | Sdiff(t,w)      | Central Pacific(w)                                            |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|    9 | SSAR      |  NULL |    -25 |     0 |        80 | To et al. [2011]              | Sdiff(t,w)      | Central Pacific(y)                                            |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|   11 | NWP       |    -6 |   NULL |  NULL |      NULL | Xu and Koper [2009]           | Pdiff(a,t)      | NorthWest Pacific(y)                                          |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|   12 | bin1      |  NULL |   -3.3 |     0 |        24 | Avants et al. [2006]          | ScS(m)          | Central Pacific(y)                                            |   6.67 |  78.5 |     42 | NULL                                                                                                                                    |
|   12 | CA        |  NULL |   NULL |  NULL |      NULL | Avants et al. [2006]          | ScS(m)          | Central America(n)                                            |   6.67 |  79.1 |  -37.7 | NULL                                                                                                                                    |
|   12 | bin2      |  NULL |   -7.4 |     0 |        29 | Avants et al. [2006]          | ScS(m)          | Central Pacific(y)                                            |   6.67 |  78.5 |     42 | NULL                                                                                                                                    |
|   12 | bin3      |  NULL |   -6.3 |     0 |        30 | Avants et al. [2006]          | ScS(m)          | Central Pacific(y)                                            |   6.67 |  78.5 |     42 | NULL                                                                                                                                    |
|   13 | yCoral    |    -6 |    -18 |    10 |       8.5 | Rost et al. [2006]            | ScP(w)          | Coral Sea(y)                                                  |  0.625 |  41.5 |   -100 | Gradient ULVZ. At ULVZ top: dVs=-24%,dVp=-8%; At ULVZ bottom (CMB): dVs=-12%, dVp=-4%.                                                  |
|   13 | nCoral    |  NULL |   NULL |  NULL |      NULL | Rost et al. [2006]            | ScP(w)          | Coral Sea(n)                                                  |  0.625 |  41.5 |   -100 | NULL                                                                                                                                    |
